art_nr|art_uvp
BGS10003|28,98
BGS10004|25,88
BGS10004|25,88
BGS10005|21,74
BGS10005|21,74
BGS10006|23,29
BGS10006|23,29
BGS10007|23,29
BGS10007|23,29
BGS10007|23,29
BGS10007|23,29
BGS10016|24,84
BGS10016|24,84
BGS10017|46,58
BGS10019|30,02
BGS10019|30,02
BGS10020|33,12
BGS10020|33,12
BGS10023|20,70
BGS10024|25,36
BGS10025|25,36
BGS10028|20,70
BGS10029|18,63
BGS10029|18,63
BGS10029|18,63
BGS10030|19,67
BGS10030|19,67
BGS10030|19,67
BGS10032|20,70
BGS10033|25,88
BGS10033|25,88
BGS10034|25,88
BGS10039|19,67
BGS10039|19,67
BGS10040|25,88
BGS10040|25,88
BGS10040|25,88
BGS10049|31,05
BGS10049|31,05
BGS10050|21,74
BGS10050|21,74
BGS10052|31,05
BGS10052|31,05
BGS10053|21,74
BGS10055|41,40
BGS10055|41,40
BGS10056|35,19
BGS10056|35,19
BGS10060|27,95
BGS10060|27,95
BGS10062|27,95
BGS10064|24,84
BGS10064|24,84
BGS10065|24,84
BGS10065|24,84
BGS10065|24,84
BGS10065|24,84
BGS10067|25,88
BGS10067|25,88
BGS10067|25,88
BGS10068|28,98
BGS10069|34,16
BGS10069|34,16
BGS10072|19,15
BGS10073|19,15
BGS10073|19,15
BGS10075|26,39
BGS10075|26,39
BGS10077|51,75
BGS10079|24,84
BGS10082|51,75
BGS10084|26,39
BGS10084|26,39
BGS10085|22,77
BGS10085|22,77
BGS10087|30,02
BGS10090|32,09
BGS10090|32,09
BGS10091|30,02
BGS10091|30,02
BGS10095|29,50
BGS10095|29,50
BGS10101|33,12
BGS10101|33,12
BGS10102|20,70
BGS10102|20,70
BGS10103|19,67
BGS10104|45,54
BGS10105|26,91
BGS10105|26,91
BGS10107|20,70
BGS10107|20,70
BGS10107|20,70
BGS10108|18,11
BGS10109|24,84
BGS10110|32,60
BGS10110|32,60
BGS10114|23,29
BGS10119|28,98
BGS10123|32,60
BGS10128|26,91
BGS10128|26,91
BGS10128|26,91
BGS10128|26,91
BGS10129|25,88
BGS10129|25,88
BGS10134|31,05
BGS10134|31,05
BGS10134|31,05
BGS10139|27,95
BGS10140|24,84
BGS10140|24,84
BGS10140|24,84
BGS10140|24,84
BGS10140|24,84
BGS10141|23,81
BGS10141|23,81
BGS10141|23,81
BGS10141|23,81
BGS10142|31,05
BGS10142|31,05
BGS10142|31,05
BGS10142|31,05
BGS10143|30,02
BGS10143|30,02
BGS10146|27,95
BGS10151|22,77
BGS10151|22,77
BGS10151|22,77
BGS10151|22,77
BGS10156|19,15
BGS10156|19,15
BGS10158|22,77
BGS10158|22,77
BGS10158|22,77
BGS10161|28,46
BGS10161|28,46
BGS10161|28,46
BGS10161|28,46
BGS10161|28,46
BGS10161|28,46
BGS10162|28,98
BGS10162|28,98
BGS10162|28,98
BGS10163|28,98
BGS10163|28,98
BGS10163|28,98
BGS10163|28,98
BGS10172|24,84
BGS10173|32,09
BGS10174|25,88
BGS10174|25,88
BGS10175|25,88
BGS10176|21,74
BGS10177|23,29
BGS10178|34,16
BGS10178|34,16
BGS10181|32,09
BGS10183|21,74
BGS10189|72,45
BGS10190|72,45
BGS10191|72,45
BGS10192|72,45
BGS10196|83,84
BGS10197|83,84
BGS10198|77,63
BGS10199|30,02
BGS10200|30,02
BGS10201|83,84
BGS10202|83,84
BGS10203|104,54
BGS10205|92,12
BGS10206|92,12
BGS10206|92,12
BGS10207|24,84
BGS10207|24,84
BGS10208|28,98
BGS10209|36,23
BGS10210|36,23
BGS10211|36,23
BGS10212|36,23
BGS10213|37,26
BGS10214|37,26
BGS10221|32,09
BGS10221|32,09
BGS10221|32,09
BGS10221|32,09
BGS10221|32,09
BGS10221|32,09
BGS10224|32,09
BGS10232|31,05
BGS10232|31,05
BGS10236|21,74
BGS10236|21,74
BGS10238|34,16
BGS10238|34,16
BGS10238|34,16
BGS10238|34,16
BGS10238|34,16
BGS10240|32,60
BGS10240|32,60
BGS10241|32,60
BGS10241|32,60
BGS10242|25,88
BGS10242|25,88
BGS10243|24,84
BGS10243|24,84
BGS10244|24,84
BGS10244|24,84
BGS10244|24,84
BGS10245|35,19
BGS10245|35,19
BGS10253|25,88
BGS10253|25,88
BGS10258|21,22
BGS10258|21,22
