art_nr|art_ctcid|art_kat|art_ukat|art_uvp|art_bild
87619||0|0|34.55|
88600||0|0|45.15|
88601||0|0|34.95|
88602||0|0|33.50|
88603||0|0|60.90|
88604||0|0|49.90|
88605||0|0|63.42|
88606||0|0|40.10|
88607||0|0|29.00|
88608||0|0|78.50|
88609||0|0|55.00|
88610||0|0|165.00|
88611||0|0|44.90|
88612||0|0|23.90|
88613||0|0|110.00|
88614||0|0|67.50|
88615||0|0|129.20|
88616||0|0|47.50|
88617||0|0|79.90|
88618||0|0|45.50|
88619||0|0|65.00|
88620||0|0|51.90|
88621||0|0|60.80|
88622||0|0|67.80|
88623||0|0|34.50|
88624||0|0|94.50|
88625||0|0|72.50|
88626||0|0|74.10|
88627||0|0|168.50|
88628||0|0|160.30|
88629||0|0|120.20|
88630||0|0|57.00|
88631||0|0|35.00|
88632||0|0|54.00|
88633||0|0|53.20|
88634||0|0|24.00|
88635||0|0|109.80|
88637||0|0|138.40|
88638||0|0|166.30|
88639||0|0|181.40|
BA71001||0|0|44.90|
BA71002||0|0|44.90|
BA71003||0|0|65.00|
BA71004||0|0|37.35|
BA71005||0|0|35.75|
BA71006||0|0|44.90|
BA71007||0|0|44.90|
BA71008||0|0|44.90|
BA71009||0|0|44.90|
BA71010||0|0|44.90|
BA71011||0|0|44.90|
BA71014||0|0|74.00|
BA71015||0|0|73.70|
BA71016||0|0|82.50|
BA71017||0|0|78.10|
BA71018||0|0|80.50|
BA71019||0|0|82.50|
BA71020||0|0|89.00|
BA71021||0|0|91.30|
BA71022||0|0|80.50|
BA71023||0|0|78.00|
BA71024||0|0|78.00|
BA71025||0|0|91.30|
BA71026||0|0|73.00|
BA71027||0|0|69.84|
BA71028||0|0|52.30|
BA71029||0|0|90.50|
BA71032||0|0|170.35|
BA71033||0|0|160.10|
BA71034||0|0|170.00|
BA71035||0|0|159.00|
BA71036||0|0|158.75|
BA71037||0|0|79.55|
BA71038||0|0|79.55|
BA71039||0|0|74.75|
BA71042||0|0|94.75|
BA71043||0|0|94.75|
BA71045||0|0|70.75|
BA71046||0|0|83.50|
BA71047||0|0|63.90|
BA71048||0|0|60.75|
BA71049||0|0|85.00|
BA71050||0|0|85.00|
BA71051||0|0|179.00|
BA71052||0|0|93.00|
BA71053||0|0|71.00|
BA71054||0|0|69.00|
BA71055||0|0|98.00|
BA71056||0|0|48.10|
BA71057||0|0|48.10|
BA71058||0|0|45.00|
BA71059||0|0|45.00|
BA71060||0|0|45.00|
BA71062||0|0|87.61|
BA71063||0|0|95.81|
BA71064||0|0|95.81|
BA71065||0|0|52.50|
BA71066||0|0|79.50|
BA71067||0|0|93.88|
BA71068||0|0|86.80|
BA71069||0|0|46.56|
BA71071||0|0|53.00|
BA71072||0|0|46.65|
BA71073||0|0|49.05|
BA71074||0|0|53.64|
BA71075||0|0|36.20|
BA71076||0|0|30.00|
BA71077||0|0|30.80|
BA71078||0|0|43.00|
BA71079||0|0|45.00|
BA71080||0|0|44.40|
BA71081||0|0|44.99|
BA71082||0|0|99.31|
